data,casa,fora,gols_casa,gols_fora,status
2024-10-05T19:30:00Z,CA Paranaense,Botafogo FR,0,1,FINISHED
2024-10-05T19:30:00Z,CA Mineiro,EC Vitória,2,2,FINISHED
2024-10-05T19:30:00Z,RB Bragantino,SE Palmeiras,0,0,FINISHED
2024-10-05T22:00:00Z,EC Bahia,CR Flamengo,0,2,FINISHED
2024-10-05T22:00:00Z,SC Corinthians Paulista,SC Internacional,2,2,FINISHED
2024-10-05T22:00:00Z,Cuiabá EC,São Paulo FC,2,0,FINISHED
2024-10-06T00:00:00Z,CR Vasco da Gama,EC Juventude,1,1,FINISHED
2024-10-09T22:30:00Z,CA Mineiro,Grêmio FBPA,2,1,FINISHED
2024-10-17T00:45:00Z,Fortaleza EC,CA Mineiro,1,1,FINISHED
2024-10-17T00:45:00Z,São Paulo FC,CR Vasco da Gama,3,0,FINISHED
2024-10-17T23:00:00Z,SC Corinthians Paulista,CA Paranaense,5,2,FINISHED
2024-10-17T23:00:00Z,CR Flamengo,Fluminense FC,0,2,FINISHED
2024-10-18T22:00:00Z,AC Goianiense,Cuiabá EC,0,0,FINISHED
2024-10-18T23:00:00Z,Botafogo FR,Criciúma EC,1,1,FINISHED
2024-10-19T00:30:00Z,Cruzeiro EC,EC Bahia,1,1,FINISHED
2024-10-19T19:00:00Z,SC Internacional,Grêmio FBPA,1,0,FINISHED
2024-10-19T19:00:00Z,EC Vitória,RB Bragantino,1,0,FINISHED
2024-10-20T23:00:00Z,EC Juventude,SE Palmeiras,3,5,FINISHED
2024-10-22T22:30:00Z,Fluminense FC,CA Paranaense,1,0,FINISHED
2024-10-24T22:00:00Z,CR Vasco da Gama,Cuiabá EC,1,0,FINISHED
2024-10-26T19:30:00Z,CR Flamengo,EC Juventude,4,2,FINISHED
2024-10-26T19:30:00Z,Grêmio FBPA,AC Goianiense,3,1,FINISHED
2024-10-26T19:30:00Z,SE Palmeiras,Fortaleza EC,2,2,FINISHED
2024-10-26T19:30:00Z,EC Vitória,Fluminense FC,2,1,FINISHED
2024-10-26T21:30:00Z,CA Paranaense,Cruzeiro EC,3,0,FINISHED
2024-10-26T22:00:00Z,CA Mineiro,SC Internacional,1,3,FINISHED
2024-10-26T22:00:00Z,RB Bragantino,Botafogo FR,0,1,FINISHED
2024-10-27T01:00:00Z,Criciúma EC,São Paulo FC,1,1,FINISHED
2024-10-28T22:00:00Z,Cuiabá EC,SC Corinthians Paulista,0,1,FINISHED
2024-10-29T00:00:00Z,CR Vasco da Gama,EC Bahia,3,2,FINISHED
2024-10-30T22:00:00Z,SC Internacional,CR Flamengo,1,1,FINISHED
2024-11-02T00:00:00Z,Fluminense FC,Grêmio FBPA,2,2,FINISHED
2024-11-02T19:00:00Z,RB Bragantino,Cuiabá EC,0,0,FINISHED
2024-11-02T21:30:00Z,CA Paranaense,EC Vitória,1,2,FINISHED
2024-11-02T21:30:00Z,EC Juventude,Fortaleza EC,0,3,FINISHED
2024-11-04T23:00:00Z,SC Corinthians Paulista,SE Palmeiras,2,0,FINISHED
2024-11-06T00:30:00Z,EC Bahia,São Paulo FC,0,3,FINISHED
2024-11-06T00:30:00Z,Botafogo FR,CR Vasco da Gama,3,0,FINISHED
2024-11-06T00:30:00Z,SC Internacional,Criciúma EC,2,0,FINISHED
2024-11-07T00:00:00Z,AC Goianiense,CA Mineiro,1,0,FINISHED
2024-11-07T00:00:00Z,Cruzeiro EC,CR Flamengo,0,1,FINISHED
2024-11-08T22:00:00Z,SC Internacional,Fluminense FC,2,0,FINISHED
2024-11-09T00:30:00Z,SE Palmeiras,Grêmio FBPA,1,0,FINISHED
2024-11-09T19:30:00Z,EC Vitória,SC Corinthians Paulista,1,2,FINISHED
2024-11-09T19:30:00Z,Botafogo FR,Cuiabá EC,0,0,FINISHED
2024-11-09T22:00:00Z,AC Goianiense,RB Bragantino,0,0,FINISHED
2024-11-09T22:00:00Z,Cruzeiro EC,Criciúma EC,2,1,FINISHED
2024-11-09T22:00:00Z,Fortaleza EC,CR Vasco da Gama,3,0,FINISHED
2024-11-09T22:00:00Z,EC Juventude,EC Bahia,2,1,FINISHED
2024-11-10T00:00:00Z,São Paulo FC,CA Paranaense,2,1,FINISHED
2024-11-13T23:00:00Z,CR Flamengo,CA Mineiro,0,0,FINISHED
2024-11-16T21:30:00Z,CA Paranaense,CA Mineiro,1,0,FINISHED
